Nom;Symbole;Marché;Dernier;Achat;Vente;Hors ouverture;Hors ouverture (%);Ouv.;Veille; Plus Haut;Plus Bas;Var.;Var. %;Vol.;Prochains résultats;Heure;Capitalisation;Chiffre d'affaires;Volume moyen (3m);BPA;PER;Bêta;Dividende;Rendement;5 minutes;15 minutes;30 minutes;1 heure;5 heures;Journalier;Hebdomadaire;Mensuel;Journalier;1 sem.;1 mois;YTD;1 an;3 ans
Adobe Systems Incorporated;ADBE;NASDAQ;344,32;-;-;345,3;--;341,4;344,32;347,78;338,48;5,2;1,53%;4.267.653;10/12/2025;09-déc;144.130.000.000;23.180.000.000;4.343.037;16,0464;21,52;1,54;-;-;Vente Forte;Neutre;Achat;Achat Fort;Achat Fort;1,53%;Neutre;Vente Forte;1,53%;5,37%;3,33%;-22,57%;-37,39%;4,14%
Amkor Technology Inc;AMKR;NASDAQ;44,61;-;-;44,42;--;44,06;44,61;44,73;43,13;-0,1;-0,22%;3.421.691;16/02/2026;09-déc;11.030.000.000;6.450.000.000;3.229.581;1,2399;35,76;2;0,3341;0,75%;Achat Fort;Achat Fort;Achat Fort;Achat Fort;Achat Fort;-0,22%;Achat Fort;Achat Fort;-0,22%;1,55%;30,21%;73,65%;67,14%;75,14%
Autodesk Inc;ADSK;NASDAQ;300,75;-;-;300,32;--;301,07;300,75;303,65;299,53;-0,64;-0,21%;1.393.896;26/02/2026;09-déc;63.630.000.000;6.890.000.000;1.404.453;5,151;58,3;1,48;-;-;Achat;Vente Forte;Vente Forte;Vente Forte;Vente Forte;-0,21%;Neutre;Achat Fort;-0,21%;-2,11%;-0,37%;1,75%;-2,18%;54,78%
Entegris Inc;ENTG;NASDAQ;92,59;-;-;92,81;--;88,15;92,59;93,13;87,43;3,49;3,92%;2.369.851;11/02/2026;09-déc;14.070.000.000;3.220.000.000;2.554.961;1,8996;48,77;1,31;0,4;0,43%;Neutre;Achat Fort;Achat Fort;Achat Fort;Achat Fort;3,92%;Achat Fort;Neutre;3,92%;7,33%;10,65%;-6,53%;-15,11%;32,59%
ON Semiconductor Corporation;ON;NASDAQ;55,23;-;-;55,08;--;55,61;55,23;56,25;55,15;-1,15;-2,04%;5.893.599;09/02/2026;09-déc;22.220.000.000;6.190.000.000;8.883.356;0,7549;73,32;1,57;-;-;Vente Forte;Vente Forte;Vente Forte;Neutre;Achat Fort;-2,04%;Achat;Neutre;-2,04%;-3,36%;14,04%;-12,40%;-18,74%;-21,69%
Open Text Corp;OTEX;NASDAQ;33,31;-;-;33,31;--;33,65;33,31;33,85;33,29;-0,34;-1,01%;863.943;29/01/2026;09-déc;8.250.000.000;5.190.000.000;1.240.010;1,9086;17,4;1,09;1,1;3,30%;Vente Forte;Vente Forte;Vente Forte;Vente Forte;Vente Forte;-1,01%;Vente;Achat;-1,01%;-0,45%;-4,67%;17,62%;9,72%;18,37%
Qualcomm Incorporated;QCOM;NASDAQ;176;-;-;175.75;-0.14%;174,5;176;176,35;172,32;0,69;0,39%;7,719,074;04/02/2026;;187.500.000.000;44.280.000.000;9.936.445;5,01;35,14;1,21;3.56;2.02%;Neutre;Achat Fort;Achat Fort;Achat Fort;Achat Fort;0,39%;Achat Fort;Achat Fort;0,39%;0,53%;1,16%;14,57%;10,12%;47,84%
Zebra Technologies Corporation;ZBRA;NASDAQ;265,24;-;-;264.40;-0.39%;263,34;265,24;267,33;261,71;0,83;0,31%;311,68;12/02/2026;;13.440.000.000;5.260.000.000;646.377;9,9255;26,84;1,75;-;-;Vente Forte;Neutre;Achat;Achat Fort;Achat Fort;0,31%;Vente Forte;Vente Forte;0,31%;2,28%;3,95%;-31,32%;-34,37%;5,48%
Check Point Software Technologies Ltd;CHKP;NASDAQ;194,19;-;-;194,19;--;190,16;194,19;194,8;189,46;3,34;1,75%;659.774;29/01/2026;09-déc;20.850.000.000;2.680.000.000;884.706;9,1213;21,27;0,61;-;-;Achat Fort;Achat Fort;Achat Fort;Achat Fort;Achat Fort;1,75%;Neutre;Neutre;1,75%;1,62%;-4,99%;4,01%;3,24%;47,64%
Canadian Solar Inc;CSIQ;NASDAQ;23,05;-;-;23,01;--;23,31;23,05;23,73;22,21;-0,46;-1,96%;2.598.252;12/03/2026;09-déc;1.560.000.000;5.900.000.000;4.492.668;-0,1929;-120,37;1,32;-;-;Vente Forte;Vente Forte;Vente Forte;Vente Forte;Vente Forte;-1,96%;Achat Fort;Achat Fort;-1,96%;-1,62%;-22,65%;107,28%;80,36%;-30,84%
Teradata Corp;TDC;NYSE;31,4;-;-;31,16;--;31;31,4;31,55;30,77;0,01;0,03%;1.352.826;16/02/2026;09-déc;2.930.000.000;1.650.000.000;1.516.318;1,2091;25,94;0,61;-;-;Achat Fort;Achat Fort;Achat Fort;Achat Fort;Achat Fort;0,03%;Achat Fort;Neutre;0,03%;3,63%;11,98%;0,80%;-3,59%;-6,82%
NetApp Inc;NTAP;NASDAQ;117,3;-;-;117,3;--;117,05;117,3;117,93;115,8;-0,23;-0,20%;1.271.872;26/02/2026;09-déc;23.230.000.000;6.640.000.000;2.054.930;5,7499;20,5;1,41;2,08;1,77%;Vente;Achat Fort;Achat Fort;Achat Fort;Achat Fort;-0,20%;Achat Fort;Achat Fort;-0,20%;2,30%;6,23%;1,05%;-4,37%;82,45%
Qualys Inc;QLYS;NASDAQ;150,03;-;-;150,03;--;148,95;150,03;150,9;147,48;0,27;0,18%;316.773;05/02/2026;09-déc;5.380.000.000;653.030.000;376.579;5,1587;29,2;0,56;-;-;Vente Forte;Achat Fort;Achat Fort;Achat Fort;Achat Fort;0,18%;Achat Fort;Achat Fort;0,18%;0,60%;-2,45%;7,00%;-2,39%;27,44%
